filename,title,feature,topic,role,level
./metadata.md,,,,,
./help/quicksilver/TOC.md,,,,User,
help/quicksilver/home.md,'[!DNL Adobe Workfront] documentation',Get Started with Workfront,,,
help/quicksilver/product-announcements/product-announcements.md,Product announcements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/product-releases.md,Product releases,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/workfront-release-schedule.md,Adobe Workfront release schedule and process,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/release-readiness.md,Prepare for an [!DNL Adobe Workfront] quarterly release,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/23.3-release-activity/23-3-release-overview.md,23.3 release overview,Product Announcements,,,
./help/quicksilver/product-announcements/product-releases/23.3-release-activity/23-3-admin-enhancements.md,23.3 Administrator enhancements,Product Announcements,,,
./help/quicksilver/product-announcements/product-releases/23.3-release-activity/23-3-agile-enhancements.md,23.3 Agile enhancements,Product Announcements,,,
./help/quicksilver/product-announcements/product-releases/23.3-release-activity/23-3-finance-enhancements.md,23.3 Financial Management enhancements,Product Announcements,,,
./help/quicksilver/product-announcements/product-releases/23.3-release-activity/23-3-integration-enhancements.md,23.3 Integration enhancements,Product Announcements,,,
./help/quicksilver/product-announcements/product-releases/23.3-release-activity/23-3-project-enhancements.md,23.3 Project enhancements,Product Announcements,,,
./help/quicksilver/product-announcements/product-releases/23.3-release-activity/23-3-mobile-enhancements.md,23.3 Mobile enhancements,Product Announcements,,,
./help/quicksilver/product-announcements/product-releases/23.3-release-activity/23-3-other-enhancements.md,23.3 Other enhancements,Product Announcements,,,
./help/quicksilver/product-announcements/product-releases/23.3-release-activity/23-3-look-and-feel-updates.md,Look and feel updates during the 23.3 release time frame,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/23.2-release-activity/23-2-release-overview.md,23.2 release overview,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/23.2-release-activity/23-2-admin-enhancements.md,23.2 Administrator enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/23.2-release-activity/23-2-agile-enhancements.md,23.2 Agile enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/23.2-release-activity/23-2-project-enhancements.md,23.2 Project enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/23.2-release-activity/23-2-resource-management-enhancements.md,23.2 Resource management enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/23.2-release-activity/23-2-reports-dashboards.md,23.2 Reports and Dashboards enhancements,Product Announcements,,,
help/quicksilver/product-announcements/product-releases/23.2-release-activity/23-2-mobile-enhancements.md,23.2 Mobile enhancements,Product Announcements,,,
